Account;Opened/Closed;Type;Time and Date;Symbol;Magic Number;Lots;Open;Close;Profit;Comment
66380479;closed;sell;2020.01.06 23:45;EURUSD;191;0,250;1,11989;1,11936;13,250;InsaneV1_RF[tp]
66380479;closed;sell;2020.01.07 23:57;EURUSD;191;0,250;1,11505;1,11542;-9,250;InsaneV1_RF[tp]
66380479;closed;buy;2020.01.08 23:56;EURUSD;191;0,250;1,11041;1,11146;26,250;InsaneV1_RF[tp]
66380479;closed;sell;2020.01.20 23:00;EURUSD;191;0,250;1,10977;1,10925;13,000;InsaneV1_RF[tp]
66380479;closed;buy;2020.01.21 23:31;EURUSD;191;0,250;1,10847;1,10832;-3,750;InsaneV1_RF[tp]
66380479;closed;sell;2020.01.28 23:00;EURUSD;191;0,250;1,10217;1,10197;5,000;InsaneV1_RF[tp]
66380479;closed;buy;2020.02.14 23:49;EURUSD;191;0,250;1,08302;1,08412;27,500;InsaneV1_RF[tp]
66380479;closed;sell;2020.02.19 23:00;EURUSD;191;0,250;1,08101;1,08057;11,000;InsaneV1_RF[tp]
66380479;closed;sell;2020.03.05 23:00;EURUSD;191;0,250;1,12282;1,12185;24,250;InsaneV1_RF[tp]
66380479;closed;sell;2020.03.16 00:01;EURUSD;191;0,250;1,11265;1,11309;-11,000;InsaneV1_RF[tp]
66380479;closed;sell;2020.03.16 00:05;EURUSD;191;0,250;1,11502;1,11309;48,250;R Factor S_SS[tp]
66380479;closed;sell;2020.03.16 00:18;EURUSD;191;0,250;1,11315;1,11582;-66,750;InsaneV1_RF[tp]
66380479;closed;sell;2020.03.16 00:20;EURUSD;191;0,250;1,11647;1,11591;14,000;R Factor S_SS[tp]
66380479;closed;sell;2020.03.16 00:27;EURUSD;191;0,250;1,11904;1,11591;78,250;R Factor S_SS[tp]
66380479;closed;sell;2020.03.30 23:00;EURUSD;191;0,250;1,10528;1,10278;62,500;InsaneV1_RF[tp]
66380479;closed;sell;2020.03.31 00:41;EURUSD;191;0,260;1,10545;1,10342;52,780;InsaneV1_RF[tp]
66380479;closed;sell;2020.04.01 23:00;EURUSD;191;0,260;1,09499;1,09451;12,480;InsaneV1_RF[tp]
66380479;closed;sell;2020.04.17 00:45;EURUSD;191;0,260;1,08526;1,08578;-13,520;InsaneV1_RF[tp]
66380479;closed;sell;2020.04.17 04:13;EURUSD;191;0,260;1,08730;1,08576;40,040;R Factor S_SS[tp]
66380479;closed;sell;2020.04.24 23:05;EURUSD;191;0,260;1,08133;1,08124;2,340;InsaneV1_RF[tp]
66380479;closed;buy;2020.04.28 23:42;EURUSD;191;0,260;1,08217;1,08284;17,420;InsaneV1_RF[tp]
66380479;closed;buy;2020.05.06 23:02;EURUSD;191;0,260;1,07911;1,07997;22,360;InsaneV1_RF[tp]
66380479;closed;buy;2020.05.19 23:07;EURUSD;191;0,260;1,09231;1,09300;17,940;InsaneV1_RF[tp]
66380479;closed;sell;2020.05.22 23:00;EURUSD;191;0,260;1,09041;1,09011;7,800;InsaneV1_RF[tp]
66380479;closed;sell;2020.06.17 23:53;EURUSD;191;0,260;1,12454;1,12407;12,220;InsaneV1_RF[tp]
66380479;closed;sell;2020.06.22 23:48;EURUSD;191;0,260;1,12659;1,12646;3,380;InsaneV1_RF[tp]
66380479;closed;buy;2020.06.24 23:00;EURUSD;191;0,260;1,12525;1,12548;5,980;InsaneV1_RF[tp]
66380479;closed;sell;2020.07.06 09:46;EURUSD;191;0,260;1,12980;1,12765;55,900;R Factor S_SS[tp]
66380479;closed;sell;2020.07.03 23:30;EURUSD;191;0,260;1,12470;1,12660;-49,400;InsaneV1_RF[tp]
66380479;closed;sell;2020.07.06 04:39;EURUSD;191;0,260;1,12681;1,12660;5,460;R Factor S_SS[tp]
66380479;closed;buy;2020.07.07 23:00;EURUSD;191;0,260;1,12723;1,12789;17,160;InsaneV1_RF[tp]
66380479;closed;buy;2020.07.13 23:43;EURUSD;191;0,260;1,13438;1,13483;11,700;InsaneV1_RF[tp]
66380479;closed;sell;2020.07.24 23:19;EURUSD;191;0,260;1,16536;1,16431;27,300;InsaneV1_RF[tp]
66380479;closed;buy;2020.07.28 23:01;EURUSD;191;0,260;1,17139;1,17212;18,980;InsaneV1_RF[tp]
66380479;closed;buy;2020.08.11 23:01;EURUSD;191;0,260;1,17328;1,17396;17,680;InsaneV1_RF[tp]
66380479;closed;sell;2020.08.18 00:20;EURUSD;191;0,260;1,18758;1,18936;-46,280;InsaneV1_RF[tp]
66380479;closed;sell;2020.08.18 04:15;EURUSD;191;0,260;1,18963;1,18930;8,580;R Factor S_SS[tp]
66380479;closed;sell;2020.08.18 15:19;EURUSD;191;0,260;1,19268;1,18930;87,880;R Factor S_SS[tp]
66380479;closed;sell;2020.08.21 23:00;EURUSD;191;0,260;1,17957;1,17922;9,100;InsaneV1_RF[tp]
